date,sentiment,daily_pnl,daily_volume,n_trades
2023-05-01,Greed,0.0,477.0,3
2023-12-05,Extreme Greed,0.0,50005.83,9
2023-12-14,Greed,-205.43473700000007,113203.35,11
2023-12-15,Greed,-24.632033999999997,10609.95,2
2023-12-16,Greed,0.0,15348.77,3
2023-12-17,Greed,304.982785,116278.02,14
2023-12-18,Greed,0.0,31164.179999999997,2
2023-12-19,Greed,1000.5386120000001,91602.41,15
2023-12-20,Greed,162.732282,141636.79,18
2023-12-21,Greed,537.211402,125233.97,49
2023-12-22,Greed,141.832675,88874.28,10
2023-12-23,Greed,146.936704,78438.25,13
2023-12-24,Greed,1008.619956,402954.94,39
2023-12-25,Greed,-245.081348,59948.51,3
2023-12-27,Greed,-704.8892269999999,171411.06,28
2023-12-28,Greed,-970.730876,100117.25,23
2023-12-29,Greed,508.92214299999995,569559.72,50
2023-12-30,Greed,354.998648,702550.21,52
2024-01-01,Greed,-129.53146,264239.52999999997,18
2024-01-02,Greed,783.979116,121348.74,17
2024-01-03,Greed,866.015507,394499.36,67
2024-01-04,Greed,-67.60364,99792.54000000001,5
2024-01-05,Greed,164.141565,1703942.66,66
2024-01-06,Greed,135.58166400000002,298521.4,22
2024-01-07,Greed,-835.681235,1048850.06,97
2024-01-08,Greed,-269.874439,1522452.43,128
2024-01-09,Extreme Greed,-826.349863,870051.97,70
2024-01-10,Greed,-1517.091342,2057479.48,193
2024-01-11,Extreme Greed,-164.08950099999998,305314.1,21
2024-01-12,Greed,-1925.519024,200082.27,7
2024-01-15,Neutral,152.85358,50636.1,14
2024-01-16,Greed,-2299.171458,116427.33,9
2024-01-17,Greed,813.2741110000001,800831.03,53
2024-01-18,Greed,68.93319,424631.52999999997,46
2024-01-19,Neutral,-385.419235,428428.97,48
2024-01-20,Neutral,-146.57487000000003,1070090.51,106
2024-01-21,Greed,266.58114600000005,103129.74,11
2024-01-22,Greed,1375.640959,337878.99,85
2024-01-23,Neutral,-369.2447299999998,414518.93000000005,45
2024-01-24,Neutral,-2808.353815,965084.59,68
2024-01-25,Neutral,-3093.6293849999997,66566.13,6
2024-01-26,Neutral,90.2,11773.21,5
2024-01-28,Neutral,-2478.06972,18109.03,11
2024-01-29,Greed,486.562542,414208.18,74
2024-01-30,Greed,-173.65419100000003,401011.38,49
2024-01-31,Greed,-799.840817,6305647.13,859
2024-02-01,Greed,0.0,2008.18,6
2024-02-02,Greed,456.423473,474278.43,42
2024-02-03,Greed,223.30918699999998,603820.0,56
2024-02-04,Greed,47.62389499999999,203187.53,35
2024-02-05,Greed,-33.45419400000003,770198.26,72
2024-02-06,Greed,-215.615907,8047153.41,1088
2024-02-07,Greed,241.24212,6758.73,15
2024-02-08,Greed,770.756024,26051.12,10
2024-02-11,Greed,983.443176,212311.82,34
2024-02-12,Greed,913.8817869999998,227247.69999999998,16
2024-02-13,Extreme Greed,559.44389,1999.99,14
2024-02-14,Greed,3830.599833,320839.88,111
2024-02-15,Greed,1840.797677,185188.04,63
2024-02-16,Greed,5491.768834,564896.51,182
2024-02-17,Extreme Greed,1929.6418,406118.07,94
2024-02-18,Greed,477.6248299999999,157048.17,97
2024-02-19,Extreme Greed,4317.768563,286377.2,101
2024-02-20,Greed,3263.628824,119419.72,39
2024-02-21,Extreme Greed,1858.7985700000002,108047.51999999999,22
2024-02-22,Greed,3894.1050699999996,373033.87,88
2024-02-23,Extreme Greed,1418.55293,111106.14,143
2024-02-25,Greed,-30.7705,4480.13,5
2024-02-26,Greed,4416.8473,192187.14,39
2024-02-27,Extreme Greed,888.511733,209362.3,63
2024-02-28,Extreme Greed,2503.747235,171107.13,45
2024-02-29,Extreme Greed,9813.996992,395666.73,116
2024-03-01,Extreme Greed,8244.241409,472974.7,137
2024-03-02,Extreme Greed,230.90060000000005,63197.56,31
2024-03-03,Extreme Greed,8361.086245,390745.68,79
2024-03-04,Extreme Greed,27799.775742,1577996.87,300
2024-03-05,Extreme Greed,19791.026041,841810.32,180
2024-03-06,Extreme Greed,6814.825139,327218.02,82
2024-03-08,Extreme Greed,4271.886236,183583.18,67
2024-03-09,Extreme Greed,9949.501624,658178.75,117
2024-03-10,Extreme Greed,2482.9272,219973.85,42
2024-03-11,Extreme Greed,3588.179495,176519.44999999998,42
2024-03-12,Extreme Greed,3039.166,103040.85,8
2024-03-13,Extreme Greed,0.0,6000.799999999999,7
2024-03-14,Extreme Greed,3465.865832,205933.18,18
2024-03-15,Extreme Greed,6236.513651,351894.41,62
2024-03-16,Extreme Greed,228.57984,37223.66,8
2024-03-17,Extreme Greed,503.293955,99506.95,23
2024-03-18,Extreme Greed,1456.9577,90458.08,19
2024-03-19,Extreme Greed,668.797973,219884.84,24
2024-03-20,Greed,6423.134599,215705.85,69
2024-03-21,Extreme Greed,2335.5080749999997,117895.57,28
2024-03-24,Greed,1297.018477,92592.20999999999,19
2024-03-25,Extreme Greed,1302.916428,57116.32,7
2024-03-26,Extreme Greed,3215.906593,198565.19,118
2024-03-27,Extreme Greed,150.41114,99864.79,38
2024-03-28,Extreme Greed,227.85100799999998,35323.72,13
2024-03-29,Extreme Greed,883.097404,86914.37,15
2024-03-30,Extreme Greed,1100.57514,101103.92,45
2024-03-31,Extreme Greed,912.786145,39912.96,13
2024-04-01,Extreme Greed,2507.963406,339470.47,77
2024-04-02,Extreme Greed,883.760812,239664.50999999998,41
2024-04-03,Greed,126.7884,16887.57,4
2024-04-04,Greed,0.0,95987.73,32
2024-04-05,Extreme Greed,10706.484306,503791.8,100
2024-04-06,Extreme Greed,236.33513399999998,68223.67,16
2024-04-07,Extreme Greed,0.0,49988.14,23
2024-04-08,Extreme Greed,1218.4267,211940.64,30
2024-04-09,Extreme Greed,0.0,57063.840000000004,3
2024-04-10,Extreme Greed,5207.443414,351735.97,41
2024-04-11,Extreme Greed,389.743164,76400.96,16
2024-04-12,Extreme Greed,-592.6458390000001,442088.59,129
2024-04-13,Greed,6621.451755,486411.25,89
2024-04-14,Greed,-36104.012520000004,659162.17,107
2024-04-15,Greed,3774.08872,291111.19,41
2024-04-16,Greed,2467.702221,181907.17,47
2024-04-17,Greed,2441.4683999999997,97562.99,14
2024-04-19,Greed,1946.4454620000001,337257.92000000004,35
2024-04-20,Greed,0.0,60733.24,22
2024-04-22,Greed,0.0,47993.61,9
2024-04-23,Greed,1119.536196,233054.9,66
2024-04-24,Greed,279.185907,141275.24,20
2024-04-25,Greed,0.0,120241.01,74
2024-04-26,Greed,0.0,4988.290000000001,3
2024-04-27,Greed,4281.488139,154264.47,27
2024-04-28,Greed,0.0,43985.6,58
2024-04-29,Greed,526.9338359999999,108699.01,45
2024-04-30,Greed,0.0,125018.75,24
2024-05-01,Neutral,0.0,87025.45,14
2024-05-03,Neutral,5306.017045,282682.64999999997,36
2024-05-04,Greed,0.0,58998.75,9
2024-05-05,Greed,0.916,24068.350000000002,6
2024-05-06,Greed,968.59038,206016.43,9
2024-05-07,Greed,883.537693,108717.58,18
2024-05-08,Greed,1.56576,65973.57,13
2024-05-09,Greed,1147.595856,221966.12,28
2024-05-10,Greed,2101.741695,156882.0,22
2024-05-11,Neutral,251.604742,63248.95,9
2024-05-12,Greed,0.0,55179.56,23
2024-05-13,Greed,2136.853859,193118.9,28
2024-05-14,Greed,1150.5233050000002,145853.4,23
2024-05-15,Greed,948.970582,234922.57,36
2024-05-16,Greed,214.5898,162620.96,27
2024-05-18,Greed,3522.3946610000003,126303.14,25
2024-05-19,Greed,0.0,29998.09,8
2024-05-20,Greed,-74.818442,38124.75,10
2024-05-21,Extreme Greed,7289.397571999999,1100948.59,125
2024-05-22,Extreme Greed,0.0,44995.29,6
2024-05-23,Extreme Greed,413.347329,401850.6,325
